ticker_a,ticker_b,sector,pvalue,test_stat,hedge_ratio,intercept,half_life,n_obs,orientation
ES,PCG,utilities_top50,8.321140169770968e-05,-5.158706989053451,-0.8959962874476216,76.77635947500535,19.166872228632087,757,ES on PCG
D,PCG,utilities_top50,0.00011909204631391985,-5.075931287469981,-0.3706265977348419,63.40013049323874,11.397932202889105,757,D on PCG
CWEN,NEE,utilities_top50,0.00014761289049905726,-5.025724138597478,0.4374348473698135,-7.1717542622564885,11.676400343609476,757,CWEN on NEE
AEP,SRE,utilities_top50,0.00026608797906034064,-4.885282587454468,0.9108058079395298,19.864216196978354,10.633456555384736,757,AEP on SRE
CMS,PCG,utilities_top50,0.001381152804767965,-4.468094365017844,-0.4651637463589207,55.481539655619756,18.121470632946856,757,CMS on PCG
AEP,ETR,utilities_top50,0.002522982454309658,-4.304101454015931,1.033974186217623,25.828247238990343,9.15649385480563,757,AEP on ETR
D,NJR,utilities_top50,0.0026126900669406657,-4.294366010402382,-0.2783505639883482,67.78494474825443,10.83600354374808,757,D on NJR
DTE,PEG,utilities_top50,0.002702977074710189,-4.284874250292165,1.9437011887055184,-4.380560952233067,12.367276809480702,757,DTE on PEG
D,VST,utilities_top50,0.003047101781746609,-4.251190568396288,-0.3748974802126826,65.85043260582738,12.211379897928984,757,D on VST
PCG,WEC,utilities_top50,0.003335973797020736,-4.225517607801232,-0.28902124717974886,33.330806575613494,18.626546919055503,757,PCG on WEC
PCG,XEL,utilities_top50,0.004326301535443987,-4.150760122203682,-0.3753904395764232,31.890258024253388,19.62751858568995,757,PCG on XEL
PCG,PNW,utilities_top50,0.005048344422652893,-4.10557696894504,0.2795419424206464,-5.7642090964494415,23.81896427978261,757,PCG on PNW
D,SWX,utilities_top50,0.005448087232031468,-4.0830392195160075,-0.09393548967422231,64.49394473424069,12.805402274258933,757,D on SWX
NWE,SR,utilities_top50,0.005483034383596599,-4.081141048217891,0.7233766963178915,7.534681911390741,15.199633997211006,757,NWE on SR
D,UGI,utilities_top50,0.0055909117518850755,-4.075350199873386,-0.21851761238310313,65.96411050305178,12.012947361912103,757,D on UGI
AWK,NEE,utilities_top50,0.006940431784623824,-4.010375136137722,1.8795620216436688,15.655950567741609,16.911299520221796,757,AWK on NEE
D,ES,utilities_top50,0.007030090374193399,-4.006475857245696,0.45475160802607095,28.93242941353449,12.247992228237116,757,D on ES
D,WEC,utilities_top50,0.0072086013838548145,-3.998844253001183,0.4343316441283436,27.036382883940934,9.573308078032902,757,D on WEC
AEP,PCG,utilities_top50,0.008150449787471216,-3.961198051850629,-0.1886931592599029,71.3510744480841,22.540275647309258,757,AEP on PCG
D,SR,utilities_top50,0.009130478368925415,-3.9259725230602913,-0.07811526502835314,63.26724439712793,13.091926402338292,757,D on SR
AEP,EIX,utilities_top50,0.010202459367177319,-3.891130326165124,0.6807318291398529,37.41443124272647,19.00536656590457,757,AEP on EIX
PCG,VST,utilities_top50,0.010534080924324793,-3.881014511723892,0.56296129148116,1.6963995973111774,25.72126463764335,757,PCG on VST
SO,WTRG,utilities_top50,0.011121462507410241,-3.863774635302178,1.2445003010354394,0.994318715676611,18.040399052313447,757,SO on WTRG
ATO,FE,utilities_top50,0.011130602496170457,-3.8635128469387907,0.8874021565900468,59.46301004476557,13.55994378590626,757,ATO on FE
PCG,POR,utilities_top50,0.012639828576641355,-3.822704490277924,0.18968469989526712,4.889217456140524,28.383553414839213,757,PCG on POR
AEP,AWR,utilities_top50,0.013213651872053525,-3.8083180457101564,0.42228409110149684,38.985528627298294,22.499772908097523,757,AEP on AWR
AEP,OTTR,utilities_top50,0.013803207470897364,-3.7941023027287293,0.3135919361696589,56.080566518544344,23.944723162283218,757,AEP on OTTR
CMS,WTRG,utilities_top50,0.014150200906068947,-3.785984496036103,0.783574986575274,21.04184913102643,19.185125855697862,757,CMS on WTRG
D,OGE,utilities_top50,0.014208490398692899,-3.7846381208663975,-0.05598574508322744,60.47473986352054,14.416037017184989,757,D on OGE
CNP,UGI,utilities_top50,0.014781404676086572,-3.771658206155305,0.5673515819702862,2.5722662219431385,15.363294054337564,757,CNP on UGI
ES,WEC,utilities_top50,0.015211592520166956,-3.762200451312308,0.8481824017790364,3.6758095949990297,21.175039205179317,757,ES on WEC
ETR,PCG,utilities_top50,0.01657536715873883,-3.7336994093861393,-0.323273608016274,45.73369569945647,31.207051672994336,757,ETR on PCG
D,NRG,utilities_top50,0.017593405843532528,-3.7137371284825966,-0.022061656648974935,59.60058201292576,14.705305073145022,757,D on NRG
AEP,IDA,utilities_top50,0.017709138415887563,-3.7115323093153654,0.4824518289883534,29.284344133064344,29.130110965759908,757,AEP on IDA
FE,POR,utilities_top50,0.018292568148929968,-3.7006057863832407,0.8534615388966724,-2.2728569847505296,22.32599421046784,757,FE on POR
AEE,AWK,utilities_top50,0.018389112847939572,-3.698827161935846,0.2237929023970672,37.82658468618716,14.696853567416698,757,AEE on AWK
D,NFG,utilities_top50,0.018468090440903067,-3.697378232204416,-0.11333790244070864,63.42726589495248,13.70755510164902,757,D on NFG
D,PNW,utilities_top50,0.019216086365991918,-3.683917412224769,0.0025302312784539244,58.74520330678711,14.915319600653973,757,D on PNW
AWK,CWEN,utilities_top50,0.019644287914308035,-3.676416042037569,4.024604509362817,51.26022297145559,17.159160572543204,757,AWK on CWEN
AEP,PPL,utilities_top50,0.0199076920772976,-3.6718721502172382,1.712245400171025,29.619078563039206,23.061788271560765,757,AEP on PPL
AEP,CNP,utilities_top50,0.020090936117133792,-3.668741861626704,0.3708639543683621,61.31444806419119,23.927504700179888,757,AEP on CNP
D,OGS,utilities_top50,0.020137575425706235,-3.667949109978126,0.008843051118959763,58.3321126441152,15.07367782622511,757,D on OGS
D,OTTR,utilities_top50,0.020330893580128365,-3.6646801320648774,0.06537140889910109,56.20066257948323,15.443468052021627,757,D on OTTR
D,NEE,utilities_top50,0.02097001576999912,-3.654061796286899,0.16606880179855077,49.50479948089531,12.772795816962624,757,D on NEE
AEP,AVA,utilities_top50,0.021069996372602724,-3.652426243642157,0.948971997895745,39.03403463376357,23.909254451689733,757,AEP on AVA
AEP,UGI,utilities_top50,0.021182581670874334,-3.6505925457596566,0.08892462004604741,66.1917759606995,23.46068355081477,757,AEP on UGI
PCG,PPL,utilities_top50,0.02151224825376988,-3.6452714593879287,0.1056446346274149,9.689077600312071,29.775385748070654,757,PCG on PPL
PCG,TXNM,utilities_top50,0.022194984921910705,-3.6344728186489212,0.03050860521136678,10.935682432998135,29.710104545605123,757,PCG on TXNM
D,ORA,utilities_top50,0.022288971705646032,-3.6330088821879336,0.07273273267723407,53.93711675828491,15.127577784041868,757,D on ORA
