ticker_a,ticker_b,sector,pvalue,test_stat,hedge_ratio,intercept,half_life,n_obs,orientation
NEE,CWEN,utilities_top50,9.430789189394004e-05,-5.129951220166335,2.161244040155612,18.5909996488552,11.361764357434142,757,NEE on CWEN
DTE,PEG,utilities_top50,0.002702977074710189,-4.284874250292165,1.9437011887055184,-4.380560952233067,12.367276809480702,757,DTE on PEG
DUK,CPK,utilities_top50,0.004788297198184156,-4.12112776943753,0.4487355834683404,32.242438453244866,17.40672185326574,757,DUK on CPK
NWE,SR,utilities_top50,0.005483034383596599,-4.081141048217891,0.7233766963178915,7.534681911390741,15.199633997211006,757,NWE on SR
AWK,NEE,utilities_top50,0.006940431784623824,-4.010375136137722,1.8795620216436688,15.655950567741609,16.911299520221796,757,AWK on NEE
PNW,CWEN,utilities_top50,0.008746046553990626,-3.939365776896886,-0.5887070187193771,74.34477533130092,20.89335337481216,757,PNW on CWEN
WTRG,SO,utilities_top50,0.009796296678630585,-3.903928082985722,0.7140738411429234,3.3821413255081034,17.130979639733663,757,WTRG on SO
POR,FE,utilities_top50,0.011502035711752508,-3.8530328856544083,0.8855190967631489,11.326806545712001,19.856577590722512,757,POR on FE
CNP,UGI,utilities_top50,0.014781404676086572,-3.771658206155305,0.5673515819702862,2.5722662219431385,15.363294054337564,757,CNP on UGI
EVRG,AWR,utilities_top50,0.014870071695051692,-3.7696891751860546,0.46837592151400587,14.186099479267295,23.080431906385968,757,EVRG on AWR
ES,WEC,utilities_top50,0.015211592520166956,-3.762200451312308,0.8481824017790364,3.6758095949990297,21.175039205179317,757,ES on WEC
TXNM,MDU,utilities_top50,0.018177280224996435,-3.7027404973531666,2.232618019933877,19.66299055040978,28.7400690684922,757,TXNM on MDU
AEE,AWK,utilities_top50,0.018389112847939572,-3.698827161935846,0.2237929023970672,37.82658468618716,14.696853567416698,757,AEE on AWK
AWK,CWEN,utilities_top50,0.019644287914308035,-3.676416042037569,4.024604509362817,51.26022297145559,17.159160572543204,757,AWK on CWEN
WEC,VST,utilities_top50,0.02455672215115656,-3.5992110632780037,-1.3614946394031995,98.59447356194622,17.362016456078873,757,WEC on VST
NRG,NFG,utilities_top50,0.027068991341658043,-3.5647775904311243,0.39974545110514453,15.490886502828463,26.150453183542027,757,NRG on NFG
XEL,SWX,utilities_top50,0.028118460207776405,-3.5512015833553963,-0.32711208470905456,72.1135248805389,19.945916937877673,757,XEL on SWX
