ticker_a,ticker_b,direction,signal_date,entry_date,exit_date,holding_days,exit_reason,entry_price_a,entry_price_b,exit_price_a,exit_price_b,qty_a,qty_b,gross_pnl,slippage_cost,commission_cost,net_pnl
AJG,AMP,1,2022-01-04,2022-01-05,2022-01-31,17,signal,160.0946737523276,301.437657578467,146.22598755467254,276.9334648961729,0.0033282742269103963,0.001549884642575075,-0.007222156879999053,0.000957962035776027,0.0009579620357760747,-0.009138080951551155
AXP,COF,-1,2022-01-04,2022-01-05,2022-01-13,6,signal,164.73408895791331,140.00426719964335,165.51146615278915,147.15940076023318,0.0036393463283981254,0.0028597397913887306,0.018644225635208095,0.0010115503192402449,0.0010115503192403767,0.016621124996727472
MS,TROW,-1,2022-01-04,2022-01-05,2022-02-18,31,signal,89.00271636887757,157.81491457450423,82.41104042358232,114.65904023249689,0.005498279137667385,0.0032357436949997436,-0.10248643131157872,0.0009120426604919068,0.0009120426604919583,-0.10431051663256259
AEP,EIX,-1,2022-01-05,2022-01-06,2022-02-11,25,signal,75.43171540159847,52.58246402195376,74.51484345473946,48.973059006828535,0.008989077920582629,0.006119150895432899,-0.01286000633619306,0.000984654220578582,0.0009846542205787063,-0.014829314777350347
AEP,ETR,-1,2022-01-05,2022-01-06,2022-01-31,16,signal,75.43171540159847,46.888406554285446,75.37219024841059,46.794936225591684,0.008069290782970072,0.00834343919909135,0.0006997228607034606,0.0009992610951051267,0.0009992610951052377,-0.0012987993295069038
AMP,MS,-1,2022-01-05,2022-01-06,2022-01-21,10,signal,296.30787811465245,89.4526144180996,287.45514026448933,84.23074943523447,0.0018327327718153422,0.00510777152108126,-0.009468884558180676,0.0009785059099452545,0.0009785059099453352,-0.011425896378071265
FITB,NTRS,-1,2022-01-06,2022-01-07,2022-01-10,1,signal,40.5556405175965,109.2856824017071,41.319647281881196,112.70499027038221,0.010408470395105692,0.0052884830864053135,0.011143908042418878,0.0010130979994357192,0.0010130979994358628,0.009117712043547296
AEE,AWK,-1,2022-01-07,2022-01-10,2022-02-16,26,signal,76.65151332085117,155.6575433227389,73.3479959971947,132.9461234872303,0.008968006587064018,0.0020069760951353663,-0.014993106701756104,0.0009622048756615655,0.0009622048756616377,-0.016917516453079307
AEP,AWK,-1,2022-01-07,2022-01-10,2022-02-02,16,signal,76.62007529493674,155.6575433227389,74.61290641398712,142.6335210310995,0.011015961889363756,0.0009997055151108939,0.010072801494910707,0.0009820925107319129,0.0009820925107319647,0.00810861647344683
AEP,NEE,-1,2022-01-07,2022-01-10,2022-02-02,16,signal,76.62007529493674,75.38153887038047,74.61290641398712,67.95111330682771,0.011304389288988139,0.0017708615009476222,0.010513275848234199,0.0009817120153896163,0.0009817120153896783,0.008549851817454905
AEP,NI,-1,2022-01-07,2022-01-10,2022-01-27,12,signal,76.62007529493674,23.91364002802316,75.15285482266718,23.718299274370995,0.008659927159596495,0.014063600204311261,0.010950940427146241,0.000992112273195983,0.0009921122731960425,0.008966715880754216
AEP,NRG,-1,2022-01-07,2022-01-10,2022-01-26,11,signal,76.62007529493674,35.78127005725395,74.88287658298476,35.52463186397939,0.011812647532840155,0.002641284608882234,0.02083206185285345,0.0009890002840082924,0.000989000284008338,0.01885406128483682
D,ES,-1,2022-01-07,2022-01-10,2022-02-11,23,signal,64.86266970792181,73.64683893677868,63.34770045126092,70.57582913997808,0.010165762990700794,0.004622897185255147,0.002188897804261883,0.000985041948369562,0.0009850419483695989,0.00021881390752272233
KMI,SLB,-1,2022-01-10,2022-01-11,2022-01-19,5,signal,13.56503970169477,31.84842945316814,13.84227457061291,34.00061427448857,0.050631752296261386,0.00982752085412433,0.008131162634196738,0.0010174086316900987,0.0010174086316901401,0.006096345370816499
KMI,XOM,-1,2022-01-10,2022-01-11,2022-03-01,33,signal,13.56503970169477,58.62063466626061,13.760136585309162,67.70315771461537,0.0446440745503775,0.006726222889414198,0.05341596255436366,0.0010348079495150428,0.0010348079495151716,0.05134634665533344
MA,PGR,1,2022-01-10,2022-01-11,2022-02-07,18,signal,354.02175585966285,100.35778246872547,371.83153601887796,99.51159868245321,0.0013528866498231827,0.0051916990579593736,0.029497582207208585,0.001009836827470466,0.0010098368274706444,0.027477908552267474
AXP,NTRS,1,2022-01-11,2022-01-12,2022-01-21,6,signal,166.75097316853947,114.34354489985547,151.19539492638543,103.24558790417134,0.0026450664524609187,0.004887669368898011,0.014049856326334577,0.0009522500181345116,0.0009522500181345815,0.012145356290065485
BAC,NTRS,1,2022-01-11,2022-01-12,2022-02-10,20,signal,43.735960599451495,114.34354489985547,44.14543053930248,108.84310750659898,0.010092993893853637,0.0048845295411931965,0.031988408607092775,0.0009885820676151292,0.0009885820676152277,0.030011244471862417
CVX,FANG,-1,2022-01-11,2022-01-12,2022-02-22,27,signal,105.8994626059001,102.13456455235531,114.6590709622753,109.61931511122381,0.006362952016323223,0.0031917953733760413,-0.030807543940970402,0.0010396315077586908,0.0010396315077587917,-0.032886806956487886
EOG,FANG,-1,2022-01-11,2022-01-12,2022-02-22,27,signal,83.80372115296386,102.13456455235531,95.6144067548979,109.61931511122381,0.00658336390908924,0.0043886966404791256,-0.04385050347937159,0.0010552382214704587,0.0010552382214706027,-0.045960979922312656
ES,WEC,1,2022-01-11,2022-01-12,2022-02-01,13,signal,71.65212249838723,80.43276009204955,74.02991674082794,82.3915456460571,0.007149388552059689,0.006063986216299882,0.006136178794540646,0.001014452458670663,0.0010144524586707146,0.004107273877199268
NTRS,PNC,-1,2022-01-11,2022-01-12,2022-02-07,17,signal,114.34354489985547,188.53537543165285,105.78833180535618,177.74262510783365,0.005087563836038722,0.002218087157548644,0.02055212275140481,0.000966190890117629,0.0009661908901176877,0.018619740971169495
BAC,PNC,1,2022-01-12,2022-01-13,2022-01-20,4,signal,43.513586317843846,188.93285161457905,41.48852580510633,175.25786806995413,0.011758461588933806,0.0025848260884553387,0.012506292969521302,0.0009704349984680504,0.0009704349984681728,0.01056542297258508
CB,SCHW,1,2022-01-12,2022-01-13,2022-01-25,7,signal,186.9191430552811,87.51069587457846,182.54199836453301,81.84904083583658,0.003324918201599035,0.004326674762610693,0.010923090934462717,0.0009805990170314177,0.0009805990170315534,0.008961892900399745
