ticker_a,ticker_b,sector,pvalue,hedge_ratio,half_life,sharpe,annualized_return,annualized_volatility,total_return,max_drawdown,n_trades,win_rate,avg_holding_days,gross_pnl,total_costs,net_pnl
AXP,FITB,financials,0.04127499477310253,3.5505267678048145,23.314235364460824,1.1401356044895081,0.1036056841724203,0.09087136983044171,0.3095836515152083,-0.07548161946853349,25,0.72,14.16,0.3596322042347502,0.05004855271954193,0.3095836515152082
AXP,COF,financials,0.0041715719038248715,0.7857839109935596,15.30301649924479,0.7126285261130189,0.06388990239414566,0.08965386600874448,0.19090911310631617,-0.07988870818772931,21,0.6666666666666666,17.476190476190474,0.2332140938980724,0.04230498079175621,0.19090911310631622
MA,PGR,financials,0.008821270900115016,3.8374974419607955,16.92929853838603,0.6935443778495496,0.07921580965371565,0.114218804425086,0.2367043836081265,-0.125152899827493,24,0.75,15.125,0.28509856834453146,0.04839418473640499,0.2367043836081265
BAC,NTRS,financials,0.003841325202504748,0.4839524914572419,14.035081061291917,0.6906167900387319,0.061008684721933194,0.08833941717303405,0.18229976030006229,-0.06594317655689519,26,0.7307692307692307,11.23076923076923,0.2342968460536617,0.0519970857535994,0.1822997603000623
AXP,PNC,financials,0.04977597532576895,0.85416628942268,18.233644712988973,0.6506336351635136,0.05120680133300081,0.07870297286449356,0.15301079922122862,-0.08050541444119108,22,0.6363636363636364,13.090909090909092,0.19692211642024982,0.043911317199021194,0.15301079922122865
NTRS,SCHW,financials,0.04776176498076037,0.8381034858750301,22.628884497809633,0.5890800307735157,0.06315451842392451,0.10720872398440819,0.18871171576672685,-0.12538256684324744,22,0.6818181818181818,12.590909090909092,0.23265870528339005,0.04394698951666316,0.1887117157667269
AEP,NEE,utilities,0.03950729718448342,0.15665255819459956,24.685992383704544,0.5643367863000797,0.06667793623775013,0.11815273761419286,0.19924002375803912,-0.17681476973682353,25,0.72,13.44,0.24944011629879503,0.05020009254075592,0.19924002375803912
AXP,NTRS,financials,0.006359775246363398,1.847843695703984,21.887639262645063,0.5590844635486438,0.0501832797138837,0.08975974648867605,0.14995241914505725,-0.0987812475736114,21,0.6666666666666666,16.047619047619047,0.19152576153846657,0.041573342393409346,0.14995241914505725
AEP,CNP,utilities,0.02009083309627592,0.37086398586443503,23.92753234724045,0.5479544123883031,0.0680362818996344,0.12416412818557811,0.2032988899620028,-0.15875050283972403,26,0.6538461538461539,14.961538461538462,0.25557462898205524,0.05227573902005246,0.2032988899620027
NTRS,ZION,financials,0.03799408384675378,1.3858594645343227,26.986645654152426,0.509719471017106,0.05919917111743338,0.11614069009234822,0.17689276131518783,-0.11859592700434529,22,0.7272727272727273,13.636363636363637,0.22067646946734495,0.04378370815215711,0.17689276131518783
AEP,AES,utilities,0.023996487678111873,0.3714515452950464,23.267214564146965,0.4974990882378325,0.06466159181679054,0.12997328707842512,0.19321499459540983,-0.15228371012975717,26,0.6923076923076923,14.153846153846153,0.24539476350359662,0.05217976890818679,0.19321499459540983
KEY,TFC,financials,0.014002960911754668,0.4335500791759727,16.427907167086705,0.47579864460792015,0.04097652772034188,0.08612157303245035,0.12244176735483112,-0.11485744084480953,18,0.6111111111111112,14.055555555555555,0.15869185325956284,0.036250085904731756,0.1224417673548311
ES,WEC,utilities,0.01521183061456356,0.8481824945089731,21.17499750480861,0.4682907000180467,0.023785067880969957,0.050791245438043815,0.07107204807289833,-0.06683728111408682,25,0.76,14.64,0.12137191669020503,0.050299868617306696,0.0710720480728983
AEP,NRG,utilities,0.024529845881891818,0.2235980208111044,24.269807010544355,0.448472773444953,0.05653051027601327,0.12605115320997742,0.16891854856284916,-0.2139431355872794,24,0.7083333333333334,14.208333333333334,0.21710882027163975,0.0481902717087906,0.1689185485628491
HBAN,TRV,financials,0.01433947131828616,0.11004450371844449,20.905393366016224,0.43804320601982116,0.040606953498449755,0.09270079512798635,0.12133744438227247,-0.12311287045265784,21,0.6666666666666666,17.38095238095238,0.1636474372564171,0.04230999287414458,0.12133744438227251
FITB,RF,financials,0.04256593690382753,2.0200028976372275,35.013823828079715,0.4378497819337342,0.023767388606654376,0.05428206107968651,0.07101922071750295,-0.08302846411842346,20,0.6,14.8,0.11148688865371416,0.04046766793621123,0.07101922071750293
AEP,SRE,utilities,0.00026607099441720345,0.910805904411018,10.633491328008855,0.40773946452966436,0.02209665223093211,0.05419306727255612,0.06602690130909476,-0.05771335759219787,22,0.5,14.045454545454545,0.11023815154587582,0.04421125023678105,0.06602690130909478
MET,RF,financials,0.027943589122849947,2.592972451347769,22.91887576355427,0.32415705321705823,0.02322551672857909,0.07164896305071941,0.06940005593896847,-0.07691357648373887,25,0.72,11.72,0.12004143073067329,0.05064137479170482,0.06940005593896845
AEP,FE,utilities,0.02915464842728611,0.5706669607436188,24.07273099308827,0.3162931852045954,0.031856043786307804,0.10071681995203788,0.09518889274241975,-0.17083783349782722,24,0.6666666666666666,14.333333333333334,0.14333394188822562,0.048145049145805835,0.09518889274241978
D,NEE,utilities,0.020970252581913817,0.16606878477292944,12.772787892741478,0.2943549906197603,0.03635607806436348,0.12351099598418994,0.10863542373994325,-0.23644648678565616,23,0.6086956521739131,18.043478260869566,0.1545135700592517,0.04587814631930851,0.10863542373994321
HBAN,TFC,financials,0.005328428483092072,0.2859606796670574,16.153872730901053,0.2885451134476633,0.0201078650886913,0.0696870754400715,0.06008421591977996,-0.09997541005640143,23,0.6956521739130435,16.217391304347824,0.10663476564815096,0.046550549728370964,0.060084215919779964
AEP,AWK,utilities,0.0448332167875389,0.09075063304967856,25.89647185715337,0.27731756243686834,0.03317078849538036,0.11961301045595238,0.09911747514691036,-0.17866437750326336,27,0.6666666666666666,14.037037037037036,0.1532844522025774,0.05416697705566705,0.09911747514691031
NTRS,PNC,financials,0.0016252217946423856,0.4359821771348408,13.927329240386152,0.26821339748729495,0.02563730057676082,0.0955854585078109,0.07660669577103531,-0.11193166646481179,19,0.631578947368421,15.578947368421053,0.11465112372874837,0.03804442795771308,0.07660669577103528
