ticker,adf_stat_levels,adf_p_levels,adf_p_diff,is_i1,reason
PRU,-1.1616043611308893,0.6898907437584668,7.180121996844303e-16,True,
AFL,-1.1046577775217554,0.7132108673239206,2.7344298505529152e-09,True,
FANG,-1.0401206564946996,0.7383515156244606,0.0,True,
DUK,-1.0356432295295184,0.7400433486783495,6.205401075542094e-12,True,
JPM,-1.0248045235814947,0.7441102687577418,5.465199883330885e-13,True,
MET,-1.0245572587709388,0.744202574850491,1.4651421203250924e-12,True,
KEY,-1.0116099503592462,0.7490063206689035,3.17700026066276e-16,True,
AXP,-0.9771548302068588,0.7615051010253336,1.0568567346477707e-19,True,
CFG,-0.9335122364740356,0.7767361667757495,2.4356479902086634e-22,True,
AWK,-0.9211703824660729,0.7809207891069665,1.7718040556539997e-12,True,
ZION,-0.8467470897909614,0.8050034896946585,4.910680050381298e-30,True,
AON,-0.8188244007798365,0.8135299103196983,1.0516145291661044e-12,True,
MCO,-0.7930182145453445,0.8211643163089257,1.3695720785641995e-13,True,
EXC,-0.7834576614949043,0.823933026890492,1.082893907304381e-12,True,
BAC,-0.7789545540027826,0.8252259818880984,5.38603032406336e-13,True,
COF,-0.7734235511850807,0.8268043338483209,2.414410659227609e-30,True,
PNC,-0.7248673855818746,0.8402027564835917,4.77504024658481e-12,True,
RF,-0.7104784211055559,0.8440166890172317,1.3037827826991866e-27,True,
NEE,-0.6882558276669278,0.8497681361577832,4.095685267378185e-09,True,
TROW,-0.6378486336174933,0.86219843121546,1.2447545215443543e-10,True,
SPGI,-0.5080983273845258,0.8904264500803486,1.7147796774745212e-14,True,
FITB,-0.4514240549363196,0.9011523063526643,2.0245515444581545e-30,True,
GS,-0.4433558466293222,0.902604367916563,2.1444351729202442e-15,True,
MSCI,-0.36471563797476503,0.9158254123079248,1.2480257012614844e-12,True,
BLK,-0.35413544988332124,0.9174794877607366,4.648681282169786e-15,True,
ICE,-0.17170802473711289,0.9418109937311878,2.8995970749842147e-10,True,
AMP,-0.12709481011003262,0.9466720159394494,2.2811240602597326e-12,True,
MS,-0.05351077759410016,0.9538766436225088,5.45646376267356e-16,True,
AJG,0.2478797549085698,0.9748227320720148,1.0524492191337269e-09,True,
DVN,0.32484506758799564,0.9784560855121069,0.0,True,
SCHW,0.5497798318676815,0.9863101050459894,3.7801961203195065e-12,True,
NDAQ,0.9501704054696545,0.9937113468985564,2.0510811930370004e-10,True,
