ticker_a,ticker_b,sector,pvalue,test_stat,hedge_ratio,intercept,half_life,n_obs,orientation
NTRS,COF,financials,0.0015234263826811388,-4.441886689263551,0.38918125603023884,44.217142028994985,20.264205867471123,757,NTRS on COF
NTRS,PNC,financials,0.0016252299806029287,-4.424497712919848,0.4359821939266008,29.110199076278345,13.927298332500396,757,NTRS on PNC
NTRS,BAC,financials,0.0020846041160194123,-4.3568302925607245,1.9739465418927158,26.04129101097125,13.02644685321918,757,NTRS on BAC
DTE,PEG,utilities,0.002702974410801834,-4.284874526005719,1.943701179330898,-4.380561189036507,12.367247644024316,757,DTE on PEG
CVX,FANG,energy,0.0036599514443098917,-4.199049041684103,0.5016217580482444,49.945148604824546,12.740640687335723,757,CVX on FANG
AXP,COF,financials,0.004171660246938092,-4.16132710105815,0.785783882461818,43.15373119458515,15.30306682665402,757,AXP on COF
TFC,HBAN,financials,0.004431125514835351,-4.143791800035367,3.362477760287649,3.8398102223245933,15.811846391874322,757,TFC on HBAN
NTRS,AXP,financials,0.005232055577117333,-4.095024869628807,0.48348606293168195,24.219884432210186,20.672878427259494,757,NTRS on AXP
AWK,NEE,utilities,0.006940507824151345,-4.010371809924091,1.8795619717626626,15.655953196313702,16.911328347857836,757,AWK on NEE
AON,NDAQ,financials,0.007759568122924766,-3.9763199127383455,3.097945217677232,81.26650681371298,21.37138670564516,757,AON on NDAQ
EOG,FANG,energy,0.007774554080168932,-3.9757276459735476,0.6666344092007749,14.238666923128694,17.320258495214357,757,EOG on FANG
TFC,KEY,financials,0.008159900809415012,-3.9608405708293244,2.241080214561127,8.434342338237919,15.466412789806498,757,TFC on KEY
MA,PGR,financials,0.008821246466922514,-3.9367048815106496,3.83749763227657,18.391895474185155,16.929294916880934,757,MA on PGR
VLO,OKE,energy,0.009895764932134583,-3.900750687257178,0.9483531940655548,22.35549982530796,22.419131228616376,757,VLO on OKE
TRV,HBAN,financials,0.011207498048607786,-3.861317948370887,7.708670456549697,43.54074585064272,19.790003440243805,757,TRV on HBAN
TROW,MS,financials,0.013953197107283903,-3.790571461384987,1.6362583400713127,25.746389375099493,19.348752420369593,757,TROW on MS
CB,PNC,financials,0.014766368680698338,-3.771993143319638,0.6957320957793227,54.63162966063441,24.836600684884292,757,CB on PNC
ES,WEC,utilities,0.015212388797699046,-3.7621831647194357,0.8481825343109871,3.675799159619044,21.175005523790205,757,ES on WEC
NTRS,FITB,financials,0.015237324959071588,-3.7616422221154395,1.8111804518450692,37.80404556394179,17.741373050887983,757,NTRS on FITB
CVX,EOG,energy,0.01563378387687371,-3.7531448760671227,0.7141798230037467,41.2871001716218,19.67088739778616,757,CVX on EOG
USB,AFL,financials,0.016271373046776984,-3.739868931858689,1.0015160374081078,-3.0513734743406578,16.752178442836918,757,USB on AFL
ALL,COF,financials,0.0170915729609766,-3.7234470186085464,0.38787993766187706,56.66349039424071,22.47828164167622,757,ALL on COF
VLO,KMI,energy,0.017761227476827887,-3.710544075809402,5.904151064444661,-14.816021106153329,22.5799362202474,757,VLO on KMI
AEE,AWK,utilities,0.018388893193242786,-3.6988311993182985,0.22379293196814037,37.826581356863024,14.696857539907867,757,AEE on AWK
CB,FITB,financials,0.019228508413037766,-3.6836977550573593,2.8935673932441284,68.4265970611766,25.04841679961152,757,CB on FITB
CFG,MET,financials,0.020462896168581636,-3.6624634962248446,0.7784028329757495,-3.4091978178135203,15.651754212134808,757,CFG on MET
