ticker_a,ticker_b,sector,pvalue,test_stat,hedge_ratio,orientation,half_life,sharpe,annualized_return,annualized_volatility,total_return,max_drawdown,n_trades,win_rate,avg_holding_days,gross_pnl,total_costs,net_pnl
NTRS,COF,financials,0.0015234263826811388,-4.441886689263551,0.38918125603023884,NTRS on COF,20.264205867471123,1.0763194376341993,0.11233911781518008,0.10437339872083583,0.44712752051041915,-0.07789084318198425,32,0.78125,12.71875,0.511396027433536,0.06426850692311678,0.4471275205104192
AXP,FITB,financials,0.04127524006003534,-3.4097848425654522,3.5505264808358334,AXP on FITB,23.31427113541931,0.8530509529641802,0.08294287898220017,0.09723086140867715,0.33012582388550304,-0.07946265217364012,32,0.6875,15.1875,0.39428022511636523,0.06415440123086212,0.33012582388550304
NTRS,JPM,financials,0.03746981009373183,-3.4462222398336935,0.5342587508868678,NTRS on JPM,21.511630049249764,0.8441984344622877,0.08129779279103606,0.09630175735023569,0.32357811971987765,-0.113287714217427,30,0.7666666666666667,14.566666666666666,0.3840230085839046,0.06044488886402693,0.3235781197198778
AXP,COF,financials,0.004171660246938092,-4.16132710105815,0.785783882461818,AXP on COF,15.30306682665402,0.678491119072987,0.05937402612419387,0.08750892156895994,0.23631804842288273,-0.07988873893204962,31,0.7096774193548387,16.0,0.29867025976155115,0.06235221133866847,0.23631804842288281
NTRS,BAC,financials,0.0020846041160194123,-4.3568302925607245,1.9739465418927158,NTRS on BAC,13.02644685321918,0.6710456539214533,0.0570620784019777,0.08503456965784462,0.2271161295126335,-0.06571943520500279,32,0.75,11.5,0.2913041357140743,0.06418800620144072,0.22711612951263355
NTRS,AXP,financials,0.005232055577117333,-4.095024869628807,0.48348606293168195,NTRS on AXP,20.672878427259494,0.5773719966375527,0.05176171095260442,0.08965053943393453,0.20601982573596125,-0.09233308612284452,30,0.7,15.5,0.2659914944949318,0.05997166875897059,0.20601982573596128
TFC,KEY,financials,0.008159900809415012,-3.9608405708293244,2.241080214561127,TFC on KEY,15.466412789806498,0.533331613217708,0.04158123987568974,0.07796507622119173,0.16549993490205084,-0.11072428224431752,31,0.6451612903225806,12.64516129032258,0.22772621050259498,0.06222627560054417,0.1654999349020508
AON,AMP,financials,0.04600831165708265,-3.368191321714899,0.6699294132422243,AON on AMP,23.34099284336496,0.5330965298675591,0.05511988454674595,0.10339569188424426,0.21938588968407216,-0.16801534448185662,29,0.6551724137931034,18.689655172413794,0.27761558785967333,0.05822969817560118,0.2193858896840722
DTE,PEG,utilities,0.002702974410801834,-4.284874526005719,1.943701179330898,DTE on PEG,12.367247644024316,0.5143640165725766,0.031277228074821285,0.060807574144153,0.12448833237716567,-0.10868904132370227,31,0.6774193548387096,14.03225806451613,0.18668046348047343,0.06219213110330771,0.12448833237716565
CB,SCHW,financials,0.04823230150522507,-3.3498630360011075,1.3012875691001815,CB on SCHW,30.89120159328194,0.5024185804998353,0.055104696918309846,0.10967885953478965,0.2193254405121618,-0.09861958625910927,39,0.6666666666666666,15.0,0.2977530421374917,0.07842760162532998,0.21932544051216168
