ticker_a,ticker_b,direction,signal_date,entry_date,exit_date,holding_days,exit_reason,entry_price_a,entry_price_b,exit_price_a,exit_price_b,qty_a,qty_b,gross_pnl,slippage_cost,commission_cost,net_pnl
AJG,AMP,1,2022-01-04,2022-01-05,2022-01-31,17,signal,160.0946737523276,301.437657578467,146.22600238674914,276.9334351339054,0.003328274214447508,0.0015498846491875462,-0.007222061050176372,0.0009579620374219331,0.0009579620374220115,-0.009137985125020317
AXP,COF,-1,2022-01-04,2022-01-05,2022-01-13,6,signal,164.73407344481194,140.00426719964335,165.51145074277133,147.15940076023318,0.003639346586850449,0.002859739890639512,0.01864422576994605,0.0010115503198973113,0.001011550319897411,0.016621125130151328
MS,TROW,-1,2022-01-04,2022-01-05,2022-02-18,31,signal,89.00273192302005,157.81494659913173,82.41105566440272,114.65903263136688,0.005498278097457575,0.003235743083169707,-0.10248653830864352,0.0009120426121317761,0.0009120426121319149,-0.10431062353290721
AEP,EIX,-1,2022-01-05,2022-01-06,2022-02-11,25,signal,75.43169244277163,52.58246402195376,74.51484345473946,48.973062849361455,0.00898907937642433,0.006119152733663419,-0.012860194390951441,0.0009846543315892137,0.0009846543315893148,-0.01482950305412997
AEP,ETR,-1,2022-01-05,2022-01-06,2022-01-31,16,signal,75.43169244277163,46.888406554285446,75.37216761729755,46.794928690751554,0.008069292164028522,0.008343440930158917,0.0006996572400275053,0.0009992610649367842,0.0009992610649369156,-0.0012988648898461946
AMP,MS,-1,2022-01-05,2022-01-06,2022-01-21,10,signal,296.3079388326152,89.45262210297469,287.4551088627252,84.23075700527691,0.0018327324896877306,0.005107770772490212,-0.00946871498395414,0.0009785058284545857,0.0009785058284546757,-0.011425726640863401
FITB,NTRS,-1,2022-01-06,2022-01-07,2022-01-10,1,signal,40.55563297639823,109.28569722894778,41.31963959861818,112.70499027038221,0.010408470019343362,0.005288483227428205,0.011143831836993575,0.001013097959661788,0.0010130979596620028,0.009117635917669783
AEE,AWK,-1,2022-01-07,2022-01-10,2022-02-16,26,signal,76.65152870969145,155.65755882709135,73.3480036249822,132.9461694815349,0.00896800452169832,0.002006976025814407,-0.014992981156544526,0.0009622048757076646,0.000962204875707738,-0.016917390907959927
AEP,AWK,-1,2022-01-07,2022-01-10,2022-02-02,16,signal,76.62008295506371,155.65755882709135,74.61289890307187,142.6335210310995,0.011015961035101008,0.000999705293800021,0.010072954197451526,0.0009820924217378534,0.0009820924217380082,0.008108769353975665
AEP,NEE,-1,2022-01-07,2022-01-10,2022-02-02,16,signal,76.62008295506371,75.38153887038047,74.61289890307187,67.95112090199495,0.011304388621518346,0.0017708610301833496,0.010513462879236574,0.0009817119387949436,0.000981711938795133,0.008550039001646496
AEP,NI,-1,2022-01-07,2022-01-10,2022-01-27,12,signal,76.62008295506371,23.913641943197305,75.15283961089357,23.718299274370995,0.008659926541050255,0.014063598285060593,0.010951110917412772,0.0009921121613592709,0.0009921121613593287,0.008966886594694173
AEP,NRG,-1,2022-01-07,2022-01-10,2022-01-26,11,signal,76.62008295506371,35.781262408922345,74.88286895579064,35.524628005125095,0.0118126465819933,0.002641284680186712,0.020832250691112584,0.0009890001995672094,0.0009890001995673452,0.018854250291978028
D,ES,-1,2022-01-07,2022-01-10,2022-02-11,23,signal,64.86267740227812,73.64683893677868,63.347681486482486,70.57584455068337,0.01016576263321111,0.004622896437275681,0.0021892417138246398,0.0009850418499355172,0.000985041849935666,0.00021915801395345656
KMI,SLB,-1,2022-01-10,2022-01-11,2022-01-19,5,signal,13.56503875391013,31.848418342328433,13.842273593470159,34.00061427448857,0.05063176086473194,0.00982752213770748,0.00813127375608338,0.001017408688071343,0.0010174086880714215,0.0060964563799406155
KMI,XOM,-1,2022-01-10,2022-01-11,2022-03-01,33,signal,13.56503875391013,58.620645721308755,13.760133742383662,67.70315771461537,0.044644074513892594,0.0067262223519243625,0.05341596784593279,0.0010348078676320842,0.001034807867632122,0.05134635211066858
MA,PGR,1,2022-01-10,2022-01-11,2022-02-07,18,signal,354.02172555689214,100.35779792291719,371.831474029743,99.51159868245321,0.0013528865616818913,0.005191698977193048,0.029497617872178708,0.0010098367651058457,0.0010098367651058958,0.027477944341966966
AXP,NTRS,1,2022-01-11,2022-01-12,2022-01-21,6,signal,166.75103485022322,114.34356005221284,151.19539492638543,103.24560384594102,0.0026450658503967247,0.004887668172903136,0.014049685339883176,0.0009522499498268264,0.0009522499498269741,0.012145185440229375
BAC,NTRS,1,2022-01-11,2022-01-12,2022-02-10,20,signal,43.73595675863203,114.34356005221284,44.14542667754086,108.84310750659898,0.010092993774701594,0.00488452927813076,0.03198848087567073,0.0009885820311765743,0.0009885820311766737,0.030011316813317482
