date,portfolio_pnl,equity
2022-01-03,0.0,1.0
2022-01-04,-0.0001900136695679731,0.999809986330432
2022-01-05,-0.00020703716896043636,0.9996029491614716
2022-01-06,-0.0005708937289420418,0.9990320554325296
2022-01-07,-0.00044069502031560115,0.998591360412214
2022-01-10,-0.00047294220173533586,0.9981184182104786
2022-01-11,0.00028830907081821327,0.9984067272812969
2022-01-12,-0.0016277847889808058,0.996778942492316
2022-01-13,-0.0015027478080151331,0.9952761946843008
2022-01-14,-0.0025021950578175247,0.9927739996264834
2022-01-18,-0.0006388299172463523,0.992135169709237
2022-01-19,0.0033329710153867957,0.9954681407246238
2022-01-20,0.005488339100606306,1.0009564798252302
2022-01-21,0.0024602367503863795,1.0034167165756165
2022-01-24,-0.00048573643684495524,1.0029309801387716
2022-01-25,0.0033112462344150194,1.0062422263731865
2022-01-26,0.0004367115826237073,1.0066789379558103
2022-01-27,-0.0017805283723188305,1.0048984095834914
2022-01-28,0.0014432867115428641,1.0063416962950342
2022-01-31,0.0005089830994686186,1.006850679394503
2022-02-01,0.000489233285972366,1.0073399126804752
2022-02-02,-0.0011481959365224875,1.0061917167439527
2022-02-03,-0.0012303297916665063,1.0049613869522862
2022-02-04,0.0009187038800498688,1.0058800908323362
2022-02-07,-0.00013877730513300597,1.005741313527203
2022-02-08,7.48513789544315e-05,1.0058161649061577
2022-02-09,-0.00019106301688341543,1.0056251018892741
2022-02-10,-0.0004675768312012253,1.0051575250580729
2022-02-11,-0.0002473367995464252,1.0049101882585265
2022-02-14,0.0008277283162660146,1.0057379165747926
2022-02-15,0.0012994909376188844,1.0070374075124113
2022-02-16,0.00024710069356714695,1.0072845082059785
2022-02-17,0.00026334106696598674,1.0075478492729446
2022-02-18,-0.0009497259347227496,1.0065981233382217
2022-02-22,2.002308378262992e-05,1.0066181464220045
2022-02-23,0.00031439807562327166,1.0069325444976276
2022-02-24,0.0014565728304840174,1.0083891173281117
2022-02-25,-0.0004268278594990498,1.0079622894686127
2022-02-28,0.0005163069315020391,1.0084785964001146
2022-03-01,-0.003606265578044543,1.0048723308220702
2022-03-02,-0.00031062884424325,1.004561701977827
2022-03-03,-0.0021098843716037697,1.0024518176062232
2022-03-04,-0.0043915352799349895,0.9980602823262882
2022-03-07,-0.0009756759042925783,0.9970846064219956
2022-03-08,0.0020860308079375233,0.999170637229933
2022-03-09,0.0010522202131973402,1.0002228574431304
2022-03-10,-0.0021525752132762906,0.9980702822298542
2022-03-11,-0.00200409411240308,0.9960661881174511
2022-03-14,0.0009937196767056177,0.9970599077941567
2022-03-15,0.0008088215065769571,0.9978687293007337
2022-03-16,0.003979488479802131,1.0018482177805357
2022-03-17,-0.0021045615442082362,0.9997436562363275
2022-03-18,-0.0004844883077256028,0.9992591679286019
2022-03-21,-0.0018017010595329053,0.997457466869069
2022-03-22,0.00037295013898508075,0.9978304170080541
2022-03-23,-0.0012252408502102475,0.9966051761578438
2022-03-24,-0.000902034908297819,0.9957031412495461
2022-03-25,-0.00243847259650561,0.9932646686530404
2022-03-28,3.7758513096698525e-05,0.9933024271661371
2022-03-29,0.0025324107213322107,0.9958348378874693
2022-03-30,-0.0026947378420736634,0.9931401000453957
2022-03-31,0.0011875968068062231,0.9943276968522019
2022-04-01,-0.002893468472096982,0.991434228380105
2022-04-04,0.0024096989733856837,0.9938439273534906
2022-04-05,-0.0016047174384348118,0.9922392099150558
2022-04-06,-0.0024480299219733197,0.9897911799930825
2022-04-07,-0.0012771333154014439,0.9885140466776811
2022-04-08,-0.000886154235241476,0.9876278924424395
2022-04-11,0.00013246569124480433,0.9877603581336843
2022-04-12,0.0005404594397132932,0.9883008175733976
